"X-Angle(бу)","Y-Angle(бу)","Z-Angle(бу)"
4.340000,-4.184000,9.824295
-4.744000,5.922000,9.485497
-4.744000,5.922000,9.485497
-4.744000,5.922000,9.485497
-4.744000,5.922000,9.485497
-4.744000,5.922000,9.485497
-2.174000,1.014000,13.927774
-2.174000,1.014000,13.927774
-2.174000,1.014000,13.927774
-2.174000,1.014000,13.927774
-2.174000,1.014000,13.927774
0.492000,3.008000,10.679166
0.492000,3.008000,10.679166
0.492000,3.008000,10.679166
0.492000,3.008000,10.679166
0.492000,3.008000,10.679166
5.244000,-1.466000,12.405972
5.244000,-1.466000,12.405972
5.244000,-1.466000,12.405972
5.244000,-1.466000,12.405972
5.244000,-1.466000,12.405972
-1.468000,-2.736000,9.624075
-1.468000,-2.736000,9.624075
-1.468000,-2.736000,9.624075
-1.468000,-2.736000,9.624075
-1.468000,-2.736000,9.624075
2.398000,-3.414000,12.958441
2.398000,-3.414000,12.958441
2.398000,-3.414000,12.958441
2.398000,-3.414000,12.958441
2.398000,-3.414000,12.958441
7.674000,-1.640000,14.952805
7.674000,-1.640000,14.952805
7.674000,-1.640000,14.952805
7.674000,-1.640000,14.952805
7.674000,-1.640000,14.952805
-4.126000,1.824000,12.995831
-4.126000,1.824000,12.995831
-4.126000,1.824000,12.995831
-4.126000,1.824000,12.995831
-4.126000,1.824000,12.995831
2.542000,-10.186000,12.873475
2.542000,-10.186000,12.873475
2.542000,-10.186000,12.873475
2.542000,-10.186000,12.873475
2.542000,-10.186000,12.873475
7.562000,5.136000,16.084924
7.562000,5.136000,16.084924
7.562000,5.136000,16.084924
7.562000,5.136000,16.084924
7.562000,5.136000,16.084924
-4.222000,-1.650000,14.547306
-4.222000,-1.650000,14.547306
-4.222000,-1.650000,14.547306
-4.222000,-1.650000,14.547306
-4.222000,-1.650000,14.547306
4.346000,-0.856000,9.865026
4.346000,-0.856000,9.865026
4.346000,-0.856000,9.865026
4.346000,-0.856000,9.865026
4.346000,-0.856000,9.865026
-7.772000,4.192000,14.669952
-7.772000,4.192000,14.669952
-7.772000,4.192000,14.669952
-7.772000,4.192000,14.669952
-7.772000,4.192000,14.669952
-6.216000,4.280000,8.939363
-6.216000,4.280000,8.939363
-6.216000,4.280000,8.939363
-6.216000,4.280000,8.939363
-6.216000,4.280000,8.939363
-0.192000,5.764000,13.315760
-0.192000,5.764000,13.315760
-0.192000,5.764000,13.315760
-0.192000,5.764000,13.315760
-0.192000,5.764000,13.315760
1.400000,-1.018000,11.505563
1.400000,-1.018000,11.505563
1.400000,-1.018000,11.505563
1.400000,-1.018000,11.505563
1.400000,-1.018000,11.505563
-2.282000,0.998000,12.985835
-2.282000,0.998000,12.985835
-2.282000,0.998000,12.985835
-2.282000,0.998000,12.985835
-2.282000,0.998000,12.985835
-0.522000,-0.046000,13.070002
-0.522000,-0.046000,13.070002
-0.522000,-0.046000,13.070002
-0.522000,-0.046000,13.070002
-0.522000,-0.046000,13.070002
2.354000,6.188000,11.595416
2.354000,6.188000,11.595416
2.354000,6.188000,11.595416
2.354000,6.188000,11.595416
2.354000,6.188000,11.595416
-3.734000,3.176000,10.918383
-3.734000,3.176000,10.918383
-3.734000,3.176000,10.918383
-3.734000,3.176000,10.918383
-3.734000,3.176000,10.918383
-3.108000,-1.276000,6.052953
-3.108000,-1.276000,6.052953
-3.108000,-1.276000,6.052953
-3.108000,-1.276000,6.052953
-3.108000,-1.276000,6.052953
7.068000,7.174000,15.609071
7.068000,7.174000,15.609071
7.068000,7.174000,15.609071
7.068000,7.174000,15.609071
7.068000,7.174000,15.609071
2.886000,0.016000,10.202437
2.886000,0.016000,10.202437
2.886000,0.016000,10.202437
2.886000,0.016000,10.202437
2.886000,0.016000,10.202437
-8.140000,2.546000,12.860322
-8.140000,2.546000,12.860322
-8.140000,2.546000,12.860322
-8.140000,2.546000,12.860322
-8.140000,2.546000,12.860322
4.786000,-4.450000,11.884585
4.786000,-4.450000,11.884585
4.786000,-4.450000,11.884585
4.786000,-4.450000,11.884585
4.786000,-4.450000,11.884585
-6.196000,-6.602000,12.868355
-6.196000,-6.602000,12.868355
-6.196000,-6.602000,12.868355
-6.196000,-6.602000,12.868355
-6.196000,-6.602000,12.868355
-7.314000,-8.142000,11.893942
-7.314000,-8.142000,11.893942
-7.314000,-8.142000,11.893942
-7.314000,-8.142000,11.893942
-7.314000,-8.142000,11.893942
-7.608000,-5.660000,11.098607
-7.608000,-5.660000,11.098607
-7.608000,-5.660000,11.098607
-7.608000,-5.660000,11.098607
-7.608000,-5.660000,11.098607
-6.500000,-2.168000,9.484118
-6.500000,-2.168000,9.484118
-6.500000,-2.168000,9.484118
-6.500000,-2.168000,9.484118
-6.500000,-2.168000,9.484118
0.262000,8.774000,10.053264
0.262000,8.774000,10.053264
0.262000,8.774000,10.053264
0.262000,8.774000,10.053264
0.262000,8.774000,10.053264
-10.322000,-0.196000,11.322624
-10.322000,-0.196000,11.322624
-10.322000,-0.196000,11.322624
-10.322000,-0.196000,11.322624
-10.322000,-0.196000,11.322624
0.106000,1.236000,12.222536
0.106000,1.236000,12.222536
0.106000,1.236000,12.222536
0.106000,1.236000,12.222536
0.106000,1.236000,12.222536
8.954000,2.840000,14.443999
8.954000,2.840000,14.443999
8.954000,2.840000,14.443999
8.954000,2.840000,14.443999
8.954000,2.840000,14.443999
-4.998000,1.784000,13.906174
-4.998000,1.784000,13.906174
-4.998000,1.784000,13.906174
-4.998000,1.784000,13.906174
-4.998000,1.784000,13.906174
-1.062000,3.264000,10.730674
-1.062000,3.264000,10.730674
-1.062000,3.264000,10.730674
-1.062000,3.264000,10.730674
-1.062000,3.264000,10.730674
4.884000,-0.010000,9.793867
4.884000,-0.010000,9.793867
4.884000,-0.010000,9.793867
4.884000,-0.010000,9.793867
4.884000,-0.010000,9.793867
1.744000,3.162000,10.515309
1.744000,3.162000,10.515309
1.744000,3.162000,10.515309
1.744000,3.162000,10.515309
1.744000,3.162000,10.515309
-5.016000,10.556000,12.080348
-5.016000,10.556000,12.080348
-5.016000,10.556000,12.080348
-5.016000,10.556000,12.080348
-5.016000,10.556000,12.080348
-2.150000,3.682000,10.302223
-2.150000,3.682000,10.302223
-2.150000,3.682000,10.302223
-2.150000,3.682000,10.302223
-2.150000,3.682000,10.302223
0.930000,-2.310000,12.107741
0.930000,-2.310000,12.107741
0.930000,-2.310000,12.107741
0.930000,-2.310000,12.107741
0.930000,-2.310000,12.107741
4.644000,5.744000,13.012774
4.644000,5.744000,13.012774
4.644000,5.744000,13.012774
4.644000,5.744000,13.012774
4.644000,5.744000,13.012774
-10.798000,-5.704000,14.579751
-10.798000,-5.704000,14.579751
-10.798000,-5.704000,14.579751
-10.798000,-5.704000,14.579751
-10.798000,-5.704000,14.579751
2.122000,-0.078000,14.475503
2.122000,-0.078000,14.475503
2.122000,-0.078000,14.475503
2.122000,-0.078000,14.475503
2.122000,-0.078000,14.475503
-4.354000,-1.386000,8.445700
-4.354000,-1.386000,8.445700
-4.354000,-1.386000,8.445700
-4.354000,-1.386000,8.445700
-4.354000,-1.386000,8.445700
-7.580000,-1.454000,11.788385
-7.580000,-1.454000,11.788385
-7.580000,-1.454000,11.788385
-7.580000,-1.454000,11.788385
-7.580000,-1.454000,11.788385
-2.192000,4.284000,8.342287
-2.192000,4.284000,8.342287
-2.192000,4.284000,8.342287
-2.192000,4.284000,8.342287
-2.192000,4.284000,8.342287
-1.218000,-3.302000,10.138324
-1.218000,-3.302000,10.138324
-1.218000,-3.302000,10.138324
-1.218000,-3.302000,10.138324
-1.218000,-3.302000,10.138324
-4.568000,-2.052000,16.291858
-4.568000,-2.052000,16.291858
-4.568000,-2.052000,16.291858
-4.568000,-2.052000,16.291858
-4.568000,-2.052000,16.291858
0.294000,4.698000,13.220040
0.294000,4.698000,13.220040
0.294000,4.698000,13.220040
0.294000,4.698000,13.220040
0.294000,4.698000,13.220040
3.308000,1.604000,9.549046
3.308000,1.604000,9.549046
3.308000,1.604000,9.549046
3.308000,1.604000,9.549046
3.308000,1.604000,9.549046
2.626000,-1.304000,14.028993
2.626000,-1.304000,14.028993
2.626000,-1.304000,14.028993
2.626000,-1.304000,14.028993
2.626000,-1.304000,14.028993
-1.780000,6.264000,13.136236
-1.780000,6.264000,13.136236
-1.780000,6.264000,13.136236
-1.780000,6.264000,13.136236
-1.780000,6.264000,13.136236
-4.226000,-4.770000,8.972798
-4.226000,-4.770000,8.972798
-4.226000,-4.770000,8.972798
-4.226000,-4.770000,8.972798
-4.226000,-4.770000,8.972798
1.674000,0.150000,10.419364
1.674000,0.150000,10.419364
1.674000,0.150000,10.419364
1.674000,0.150000,10.419364
1.674000,0.150000,10.419364
-1.910000,-4.716000,12.752217
-1.910000,-4.716000,12.752217
-1.910000,-4.716000,12.752217
-1.910000,-4.716000,12.752217
-1.910000,-4.716000,12.752217
4.568000,-1.236000,13.410468
4.568000,-1.236000,13.410468
4.568000,-1.236000,13.410468
4.568000,-1.236000,13.410468
4.568000,-1.236000,13.410468
-2.990000,-2.812000,10.174397
-2.990000,-2.812000,10.174397
-2.990000,-2.812000,10.174397
-2.990000,-2.812000,10.174397
-2.990000,-2.812000,10.174397
0.936000,-6.302000,9.669500
0.936000,-6.302000,9.669500
0.936000,-6.302000,9.669500
0.936000,-6.302000,9.669500
0.936000,-6.302000,9.669500
4.712000,-1.744000,15.744126
4.712000,-1.744000,15.744126
4.712000,-1.744000,15.744126
4.712000,-1.744000,15.744126
4.712000,-1.744000,15.744126
-2.742000,-2.758000,8.851939
-2.742000,-2.758000,8.851939
-2.742000,-2.758000,8.851939
-2.742000,-2.758000,8.851939
-2.742000,-2.758000,8.851939
5.874000,3.044000,11.098601
5.874000,3.044000,11.098601
5.874000,3.044000,11.098601
5.874000,3.044000,11.098601
5.874000,3.044000,11.098601
4.272000,-0.424000,13.617082
4.272000,-0.424000,13.617082
4.272000,-0.424000,13.617082
4.272000,-0.424000,13.617082
4.272000,-0.424000,13.617082
-6.194000,-3.314000,10.153161
-6.194000,-3.314000,10.153161
-6.194000,-3.314000,10.153161
-6.194000,-3.314000,10.153161
-6.194000,-3.314000,10.153161
-3.186000,-4.828000,10.484592
-3.186000,-4.828000,10.484592
-3.186000,-4.828000,10.484592
-3.186000,-4.828000,10.484592
-3.186000,-4.828000,10.484592
-2.576000,-2.016000,9.883403
-2.576000,-2.016000,9.883403
-2.576000,-2.016000,9.883403
-2.576000,-2.016000,9.883403
-2.576000,-2.016000,9.883403
-5.106000,-4.870000,11.301319
-5.106000,-4.870000,11.301319
-5.106000,-4.870000,11.301319
-5.106000,-4.870000,11.301319
-5.106000,-4.870000,11.301319
1.324000,-0.496000,11.699027
1.324000,-0.496000,11.699027
1.324000,-0.496000,11.699027
1.324000,-0.496000,11.699027
1.324000,-0.496000,11.699027
1.670000,-0.022000,10.922933
1.670000,-0.022000,10.922933
1.670000,-0.022000,10.922933
1.670000,-0.022000,10.922933
1.670000,-0.022000,10.922933
-0.994000,0.912000,11.212457
-0.994000,0.912000,11.212457
-0.994000,0.912000,11.212457
-0.994000,0.912000,11.212457
-0.994000,0.912000,11.212457
1.924000,5.798000,15.096640
1.924000,5.798000,15.096640
1.924000,5.798000,15.096640
1.924000,5.798000,15.096640
1.924000,5.798000,15.096640
3.346000,6.046000,10.391037
3.346000,6.046000,10.391037
3.346000,6.046000,10.391037
3.346000,6.046000,10.391037
3.346000,6.046000,10.391037
-7.896000,0.592000,13.061829
-7.896000,0.592000,13.061829
-7.896000,0.592000,13.061829
-7.896000,0.592000,13.061829
-7.896000,0.592000,13.061829
0.930000,-5.194000,10.450747
0.930000,-5.194000,10.450747
0.930000,-5.194000,10.450747
0.930000,-5.194000,10.450747
0.930000,-5.194000,10.450747
-7.892000,-0.038000,11.507826
-7.892000,-0.038000,11.507826
-7.892000,-0.038000,11.507826
-7.892000,-0.038000,11.507826
-7.892000,-0.038000,11.507826
0.326000,-5.652000,11.101571
0.326000,-5.652000,11.101571
0.326000,-5.652000,11.101571
0.326000,-5.652000,11.101571
0.326000,-5.652000,11.101571
6.134000,3.686000,11.787587
6.134000,3.686000,11.787587
6.134000,3.686000,11.787587
6.134000,3.686000,11.787587
6.134000,3.686000,11.787587
-2.272000,-2.656000,11.099258
-2.272000,-2.656000,11.099258
-2.272000,-2.656000,11.099258
-2.272000,-2.656000,11.099258
-2.272000,-2.656000,11.099258
-1.588000,5.330000,9.797889
-1.588000,5.330000,9.797889
